Domain,Group,ID,Title,Description,Functions,KPIs,Best Practices
Core Product & Platform,Search & Discovery Platform,SAP,Search & Discovery Platform Management,"Lifecycle management of Algolia's core search and discovery platform, covering index architecture, query processing pipeline, relevance configuration, A/B testing, and platform performance at global scale.","Index Architecture & Multi-tenancy
Query Pipeline Management
Relevance Tuning
A/B Testing Framework
Distributed Search Network (DSN)
Multi-Region Configuration
Platform SLA Management","↑ Platform Uptime (99.999%)
↓ P99 Query Latency (<20ms)
↑ Search Relevance Score
↑ Index Freshness
↑ Queries/sec Headroom","Maintain a composable, API-first architecture that allows customers to configure relevance independently from infrastructure. Instrument every query with analytics to drive continuous relevance improvement. Use A/B testing to validate ranking changes before full production rollout."
Core Product & Platform,Search & Discovery Platform,NES,NeuralSearch & Hybrid Retrieval,"Development and continuous improvement of Algolia's NeuralSearch capability, which fuses vector-based semantic search with keyword retrieval, business rules, and personalisation to deliver superior relevance beyond literal keyword matching.","Vector Embedding Management
Semantic Search Configuration
Keyword–Vector Fusion Tuning
Query Understanding & Intent Detection
Multilingual Search Support
BYOLLM Embedding Integration
Dynamic Re-Ranking","↑ Semantic Recall Rate
↑ CTR on Search Results
↓ Zero-Result Query Rate
↑ Revenue-per-Search
↑ NeuralSearch Adoption (Elevate)",Train vector embeddings on domain-specific datasets for each vertical. Continuously tune fusion weights between keyword and vector signals using real user interaction data. Monitor zero-result and low-CTR queries as leading indicators of relevance gaps. Support BYOLLM embedding models for data-sovereign enterprise customers.
Core Product & Platform,Search & Discovery Platform,SCI,Search Configuration & Index Management,"Tools and processes enabling customers to configure Algolia indices, manage faceting, filtering, ranking formulae, query rules, synonyms, stopwords, and query suggestions via both no-code and programmatic pathways.","Index Configuration
Facet & Filter Management
Ranking Formula Design
Query Rules Engine
Synonym Management (AI + manual)
Stopword Management
Visual Editor & Collections","↑ Rule Utilisation Rate
↑ Query Suggestion Click Rate
↓ Relevance Support Tickets
↑ Merchandising Studio Active Users
↓ Configuration Error Rate",Provide a no-code Merchandising Studio for business teams alongside a full API for programmatic control. Version all index configurations to enable safe rollback. Implement change-preview so merchandisers can test rule changes in staging before production.
Core Product & Platform,Search & Discovery Platform,ING,Data Indexing & Ingestion,"Management of the full range of data connectors, crawlers, and push/pull indexing APIs that ingest customer content into Algolia's search indices, ensuring freshness, accuracy, and throughput at scale.","Crawler Management
Push API
Pull Connectors (Shopify, SFCC, Magento)
Webhook & Event-Driven Indexing
Delta & Full Re-Index
Data Transformation & Mapping
Index Partitioning","↑ Index Freshness (data lag)
↑ Indexing Throughput (records/sec)
↓ Indexing Error Rate
↑ Pre-built Connector Adoption
↑ Records Under Management",Provide pre-built connectors for the most common data sources to reduce time-to-value. Support both push and pull indexing patterns. Implement idempotent indexing APIs to handle retries safely. Monitor data freshness as a leading indicator of search quality — stale indices degrade relevance before customers notice.
Core Product & Platform,Search & Discovery Platform,SME,Search / Merchandising,"Tools that enable business and merchandising teams to control how end-users search and discover products and content, blending AI-driven optimisation with manual editorial control via Algolia's Merchandising Studio.","Search Dictionary Management
Merchandising Rule Management
AI-driven Rule Recommendations
Predictive Sort
Visual Drag-and-Drop Positioning
Collections & Smart Groups
Browse / Category Pages","↑ Average Order Value
↑ Customer Satisfaction
↑ Lead Conversion %
↓ Site Abandonment
↑ Merchandising Rule Adoption",Learn from consumer activity and current intent signals to surface the most relevant results. Use AI-driven synonym recommendations to reduce manual effort. Support multi-language dictionaries for international customers. Track merchandising rule impact on conversion with built-in A/B testing.
Core Product & Platform,"AI, ML & Recommendations",RCE,Recommendations Engine,Algolia's AI-powered recommendation capability delivering personalised product and content recommendations across digital experiences using collaborative filtering and ML trained on behavioural events.,"Related Products / Items
Frequently Bought Together
Looking Similar (Visual AI)
Trending Items
Recently Viewed Personalisation
Recommendation Filters & Rules
Recommendation Simulator","↑ Recommendation CTR
↑ Revenue from Recommendations
↑ Avg Cart Size (Rec Touchpoints)
↓ Recommendation API Latency
↑ Model Accuracy (NDCG/MRR)",Enforce minimum interaction-event thresholds before enabling models to avoid cold-start degradation. Integrate recommendations with search for a unified discovery experience. Provide a simulator so customers can preview recommendation quality before go-live. Support GDPR-compliant personalisation with consent management hooks.
Core Product & Platform,"AI, ML & Recommendations",AIM,AI Model Management & MLOps,"Governance, training, evaluation, and production deployment of ML models powering ranking, recommendations, personalisation, and NeuralSearch. Includes model versioning, experimentation infrastructure, and responsible AI practices.","Model Training Pipelines
Offline Evaluation (NDCG, MRR, MAP)
A/B Testing for Models
Model Versioning & Registry
Feature Engineering
Production Monitoring & Drift Detection
Responsible AI / Bias Detection","↑ Offline Model Quality (NDCG@10)
↑ Online Lift (CTR, GMV)
↓ Model Deployment Cycle Time
↑ Experiment Velocity (models/qtr)
↓ Model Drift Rate","Use shadow deployment (challenger models served silently alongside champions) before full rollout. Use Algolia's own search analytics as a continuous training signal — clicks, conversions, and abandonment close the feedback loop. Apply bias detection across protected attributes. Maintain model cards documenting training data, intended use, and performance characteristics."
Core Product & Platform,"AI, ML & Recommendations",MLA,Machine Learning / Auto-ML,Machine learning using algorithms and statistical models to perform tasks without explicit instructions. Auto-ML develops multiple models and selects the best-performing one for a given dataset.,"Data Learning and Modeling
Feature Engineering
Multi Algorithm Support
Standard API Support
Heterogeneous Data Support
AutoML Competition Framework","↑ Model Accuracy
↑ Prediction Quality
↓ Model Development Cycle Time",Enable a variety of cleansed data sets to be leveraged by models. Surface contextual insights via standard industry tools and APIs for business system consumption. Leverage AutoML to accelerate model development and benchmarking.
Core Product & Platform,"AI, ML & Recommendations",ADD,AI Driven Discovery,Extracting actionable patterns and insights from aggregated data using AI systems and automated ML algorithms to identify patterns and present insights within business contexts.,"Multiple Algorithm Support
Automated Insight Delivery
Real-time Analysis
Low Code Environment
Heterogeneous Data Support
Query Intelligence Surfacing","↑ Search Insight Adoption Rate
↑ Conversion Rate Uplift from AI
↓ Time to Actionable Insight","Leverage AI tools to automate discovery and presentation of insights within marketing, sales, and CS contexts. Surface query intelligence (top searches, no-result queries, low-click queries) proactively to customers so they can act before issues compound."
Core Product & Platform,"AI, ML & Recommendations",NBA,Next Best Action / Recommendation,Customer-centric technique recommending the best action during a customer interaction based on AI-analysed data. Applied in the product to end-users and internally to sales/CS teams.,"Automated Modelling and Learning
Business Rule Definition / Config
Adaptive Controls / Parameters
Data Analytics
Heterogeneous Data Support
Internal NBA for Sales & CS","↑ Cross-sell / Upsell Revenue
↑ Recommendation Acceptance Rate
↑ Customer Health Score Improvement","Automate real-time delivery of recommendations in the context of user workflow. Provide guided selection of model and learning process for easy configuration. Apply NBA to both product-level user recommendations and internal sales/CS tooling (expansion signals, at-risk accounts)."
